DATE,URL,R_avg,G_avg,B_avg,R_std,G_std,B_std,range,genre,historical,interior,landscape,mythological,other,portrait,religious,still-life,study
1477,https://www.wga.hu/art/s/signorel/loreto/0view1.jpg,158.0427529484792,132.11290502793295,107.61235361059383,49.86864320225543,50.08689965750046,52.36426462473385,254.99999999999997,0,0,1,0,0,0,0,0,0,0
1853,https://www.wga.hu/art/c/courbet/2/courb218.jpg,49.88745985970382,49.723580670303974,38.30139750584567,40.88599633577735,27.714990484867677,21.954331340528714,247.23299999999998,0,0,0,0,0,0,1,0,0,0
1760,https://www.wga.hu/art/l/longhi/pietro/2/30duckhu.jpg,191.76837784907704,174.8907996166507,144.88407294748393,63.146008385435806,71.07252784893504,67.73712152908845,253.234,0,0,0,1,0,0,0,0,0,0
1498,https://www.wga.hu/art/s/signorel/various/61bichi.jpg,83.52848506106125,59.5490804064055,51.748397242310766,70.24082958424039,58.75478445030652,41.80926306031332,252.22999999999996,0,0,0,0,0,0,0,1,0,0
1280,https://www.wga.hu/art/m/master/xunk_it/xunk_it0/051clarg.jpg,133.71818694986607,94.70191924990432,87.86796880979716,60.39275720746055,51.695150578476955,35.915240809642945,250.438,0,0,0,0,0,0,0,1,0,0
1888,https://www.wga.hu/art/g/gogh_van/10/portra02.jpg,89.80400097195223,73.84138225492919,54.568935712302135,74.73380971179934,49.669028286830994,36.57438701083458,252.60599999999997,0,0,0,0,0,0,1,0,0,0
1661,https://www.wga.hu/art/o/ostade/adriaen/1/p_cottax.jpg,50.807998299440236,27.186954580882873,25.074999645716716,41.80597162773812,37.55675650345197,30.146285169802876,253.31599999999997,0,0,1,0,0,0,0,0,0,0
1611,https://www.wga.hu/art/p/pourbus/frans_y/marimed3.jpg,87.24016392092257,66.21735667215816,63.88849258649094,67.24944618652913,53.204605364802305,48.96164544060578,248.79399999999998,0,0,0,0,0,0,1,0,0,0
1542,https://www.wga.hu/art/m/michelan/2paintin/2/4paul3.jpg,141.149576431913,122.9993425211784,109.86785623972689,50.04403513692283,55.76584577055328,54.61756450924048,252.08100000000002,0,0,0,0,0,0,0,1,0,0
1635,https://www.wga.hu/art/a/asselyn/cavalry.jpg,135.00071246400657,122.42612093788564,110.49030604689428,57.722843571660256,61.187425603324236,62.82839564792685,251.53799999999998,0,1,0,0,0,0,0,0,0,0
1670,https://www.wga.hu/art/b/bettera/musical2.jpg,70.00230890464933,50.99769897557132,35.41024586288416,54.19035543281225,47.73609856090459,39.676364660512796,254.42999999999998,0,0,0,0,0,0,0,0,1,0
1584,https://www.wga.hu/art/t/tintoret/4a/5maggio0.jpg,97.64027991165739,72.7508834261571,56.659107931630494,69.79241272292951,54.16478379642542,40.84610323897701,254.42999999999998,0,1,0,0,0,0,0,0,0,0
1440,https://www.wga.hu/art/m/master/osservan/anthony2.jpg,146.70612322086194,104.87907534587438,78.44148402508212,68.26340250499251,50.41470533174491,37.0184828275593,254.41299999999998,0,0,0,0,0,0,0,1,0,0
1892,https://www.wga.hu/art/l/lhermitt/flock.jpg,150.15485096153847,131.70648214285714,107.46271909340659,49.19160907852735,51.169601770430674,56.896823589586724,236.48899999999998,1,0,0,0,0,0,0,0,0,0
1625,https://www.wga.hu/art/l/liss/prodigal.jpg,82.05488901826651,62.97296412197075,51.06213157703224,66.06079592721328,62.46193129021046,53.33539992376297,253.74599999999998,0,0,0,0,0,0,0,1,0,0
1460,https://www.wga.hu/art/c/carneval/6portrai.jpg,86.63334131736526,74.70777944111776,59.90688423153693,66.32585192266087,54.65954801296196,39.647276112065484,254.20199999999997,0,0,0,0,0,0,1,0,0,0
1335,https://www.wga.hu/art/m/maso/bardi/10bardi.jpg,143.3548102345416,119.67088059701493,98.54805401563611,62.042587010419794,58.26074073856682,49.371282242672606,253.045,0,0,0,0,0,0,0,1,0,0
